Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Alan ,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-0B414DC17B3E0CF0BACDB8EFC6203E47719FCA65EA9D9E7E879CBDAA3E3E91D91,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Alan ,NFCDCH-02-EFW04NK4KR9WPE5MEG021N4KG4W8LF,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-EAXFQZ3A3YYYME0A56R6R88ML2H2FK,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-EE74LGYC75AR8DHL6YHHA6223XYHG7,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-EDUKEVMCVXDXEDA112W1JXJ9JYJN2M,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-ECUQTFDUDTRNG4Y8LYJ84K226HLQWF,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-ECR1YZMRXU21HKLYCG556XW5A7J6PE,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFANDROID1-PRV-P-L3-POSITTWIST=MINI-4445-0A96DE9F5858FC08798F3938764A962F45B283271A237DEA6AF1112B0A8FE991A,Android DefaultWidevineL3Phone Android Phone (Positivo_Twist Mini),,,,,,,,,
Alan ,NFUWA-001-0DD92A70D0337C52F4D4D50B38426C39580D3343C82E4CF279D809F57C320E6E,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Alan ,NFCDCH-02-ECHFVHY5NMQCTFJMANFN1NQPP8UJ1N,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFANDROID1-PRV-P-L3-MOTORMOTO=G==4=-4445-0441E3D10A69501C4426F6D10DD27F2D319E8C0B4F097D1A7CD59BCF80159C161,Android DefaultWidevineL3Phone Android Phone (motorola_Moto G (4)),,,,,,,,,
