Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2020-07-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2020-06-27,2020-06-27,2020-07-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,,,SETTLED,BR,2020-07-27
2020-05-27,2020-05-27,2020-06-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,,,SETTLED,BR,2020-06-27
2020-04-27,2020-04-27,2020-05-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,32.9,BRL,3.7,32.9,,,SETTLED,BR,2020-05-27
2020-03-27,2020-03-27,2020-04-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,,,SETTLED,BR,2020-04-27
2020-02-27,2020-02-27,2020-03-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,,,SETTLED,BR,2020-03-27
2020-01-27,2020-01-27,2020-02-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,32.9,BRL,3.7,32.9,,,SETTLED,BR,2020-02-27
2019-12-27,2019-12-27,2020-01-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2020-01-27
2019-12-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-11-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-11-27,2019-11-27,2019-12-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-12-27
2019-10-27,2019-10-27,2019-11-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-11-27
2019-10-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-09-27,2019-09-27,2019-10-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-10-27
2019-09-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-08-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-08-27,2019-08-27,2019-09-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-09-27
2019-07-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-07-27,2019-07-27,2019-08-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-08-27
2019-06-27,2019-06-27,2019-07-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-07-27
2019-06-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-05-27,2019-05-27,2019-06-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2019-06-27
2019-05-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-04-28,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2019-04-28,2019-04-27,2019-05-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,32.9,BRL,3.7,32.9,SALE,DECLINED,RECOVERY,BR,2019-05-27
2019-04-28,2019-04-27,2019-05-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,RECOVERY,BR,2019-05-27
2019-04-27,2019-04-27,2019-05-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,REVERSAL,BR,2019-05-27
2019-04-27,2019-04-27,2019-05-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,32.9,BRL,3.7,32.9,SALE,DECLINED,REVERSAL,BR,2019-05-27
2019-04-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,DECLINED,,BR,
2019-03-27,2019-03-27,2019-04-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,REVERSAL,BR,2019-04-27
2019-03-27,2019-03-27,2019-04-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,27.9,BRL,3.14,27.9,SALE,DECLINED,RECOVERY,BR,2019-04-27
2019-03-27,2019-03-27,2019-04-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,RECOVERY,BR,2019-04-27
2019-03-27,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,DECLINED,,BR,
2019-03-27,2019-03-27,2019-04-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,27.9,BRL,3.14,27.9,SALE,DECLINED,REVERSAL,BR,2019-04-27
2019-03-27,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2019-02-27,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2019-02-27,2019-02-27,2019-03-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2019-03-27
2019-01-27,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2019-01-27,2019-01-27,2019-02-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2019-02-27
2018-12-27,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-12-27,2018-12-27,2019-01-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2019-01-27
2018-11-27,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-11-27,2018-11-27,2018-12-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-12-27
2018-10-27,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-10-27,2018-10-27,2018-11-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,27.9,BRL,3.14,27.9,SALE,APPROVED,SETTLED,BR,2018-11-27
2018-09-27,2018-09-27,2018-10-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,27.9,BRL,3.14,27.9,SALE,DECLINED,REVERSAL,BR,2018-10-27
2018-09-27,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,APPROVED,,BR,
2018-09-27,2018-09-27,2018-10-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,27.9,BRL,3.14,27.9,SALE,DECLINED,RECOVERY,BR,2018-10-27
2018-09-27,2018-09-27,2018-10-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,27.9,BRL,3.14,27.9,SALE,APPROVED,REVERSAL,BR,2018-10-27
2018-09-27,2018-09-27,2018-10-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,27.9,BRL,3.14,27.9,SALE,APPROVED,RECOVERY,BR,2018-10-27
2018-09-27,,,payment_transaction,CC,,,,,BRL,,27.9,SALE,DECLINED,,BR,
